date,close,equity
2016-08-01,2099.179,1000000.0
2016-08-29,2193.2,1000000.0
2016-09-28,2139.628,1000000.0
2016-11-02,2146.398,1000000.0
2016-11-30,2183.049,1000000.0
2016-12-28,1957.154,1000000.0
2017-01-26,1886.232,1000000.0
2017-03-02,1920.404,1000000.0
2017-03-30,1893.7,1000000.0
2017-05-02,1850.849,1000000.0
2017-06-01,1728.488,1000000.0
2017-06-29,1813.552,1000000.0
2017-07-27,1742.19,1000000.0
2017-08-24,1795.739,1000000.0
2017-09-21,1872.769,1000000.0
2017-10-26,1910.721,1000000.0
2017-11-23,1794.78,1000000.0
2017-12-21,1789.736,1000000.0
2018-01-19,1728.139,1000000.0
2018-02-23,1668.834,1000000.0
2018-03-23,1726.02,1000000.0
2018-04-24,1806.86,1000000.0
2018-05-24,1838.402,979981.8192501501
2018-06-22,1549.66,961431.4478693502
2018-07-20,1609.547,961431.4478693502
2018-08-17,1434.305,961431.4478693502
2018-09-14,1366.565,961431.4478693502
2018-10-22,1314.944,961431.4478693502
2018-11-19,1394.4,961431.4478693502
2018-12-17,1299.174,961431.4478693502
2019-01-16,1267.304,961431.4478693502
2019-02-20,1408.381,961431.4478693502
2019-03-20,1687.9,1039154.1724012905
2019-04-18,1704.546,1068329.1800356903
2019-05-21,1493.715,1068329.1800356903
2019-06-19,1469.987,1039781.6721908203
2019-07-17,1550.217,1064739.8054118403
2019-08-14,1536.659,1056605.0054118405
2019-09-11,1703.537,1156731.8054118403
2019-10-17,1658.259,1129565.0054118405
2019-11-14,1692.582,1150158.8054118403
2019-12-12,1720.986,1167201.2054118405
2020-01-10,1904.194,1277126.0054118403
2020-02-17,2146.177,1422315.8054118406
2020-03-16,1910.7666,1504527.0074411205
2020-04-14,1985.426,1513685.0323489427
2020-05-15,2124.3107,1610904.3223489427
2020-06-12,2206.7641,1668621.7023489426
2020-07-14,2858.6719,1976925.416007807
2020-08-11,2688.7004,1976925.416007807
2020-09-08,2650.629,1976925.416007807
2020-10-14,2764.2438,2107221.6952555645
2020-11-11,2681.5244,2049318.115255564
2020-12-09,2697.8256,2060728.9552555643
2021-01-07,3162.398,2385929.635255564
2021-02-04,3200.5493,2516693.38166402
2021-03-11,2746.5754,2516693.38166402
2021-04-09,2783.3266,2628180.165948344
2021-05-12,2960.355,2787505.725948344
2021-06-09,3207.6258,3010049.4459483437
2021-07-08,3432.957,3074824.6161251846
2021-08-05,3532.5003,3074824.6161251846
2021-09-02,3138.8034,3074824.6161251846
2021-10-11,3196.1887,3047877.2755821957
2021-11-08,3380.292,3213570.2455821955
2021-12-06,3405.9346,3236648.585582196
2022-01-04,3250.159,3096450.5455821957
2022-02-08,2846.4823,3011544.5602033795
2022-03-08,2582.9858,3011544.5602033795
2022-04-07,2578.5331,3011544.5602033795
2022-05-10,2276.345,3011544.5602033795
2022-06-08,2576.335,3011544.5602033795
2022-07-06,2802.715,3011544.5602033795
2022-08-03,2628.8176,3011544.5602033795
2022-08-31,2570.4149,3011544.5602033795
2022-09-29,2332.995,3011544.5602033795
2022-11-03,2376.0609,3011544.5602033795
2022-12-01,2381.1833,3011544.5602033795
2022-12-29,2349.3827,3011544.5602033795
2023-02-03,2580.1109,3011544.5602033795
2023-03-03,2422.4366,3011544.5602033795
2023-03-31,2399.5025,3011544.5602033795
2023-05-04,2297.6699,3011544.5602033795
2023-06-01,2206.4263,3011544.5602033795
2023-07-03,2228.2109,3011544.5602033795
2023-07-31,2236.6732,3011544.5602033795
2023-08-28,2060.0436,3011544.5602033795
2023-09-25,2005.2552,3011544.5602033795
2023-10-31,1968.2265,3011544.5602033795
2023-11-28,1938.4232,3011544.5602033795
2023-12-26,1808.4998,3011544.5602033795
2024-01-24,1696.1879,3011544.5602033795
2024-02-29,1807.0344,3011544.5602033795
2024-03-28,1806.8968,3011544.5602033795
2024-04-29,1887.5712,3011544.5602033795
2024-05-30,1813.1545,3011544.5602033795
2024-06-28,1683.43,3011544.5602033795
2024-07-26,1659.5336,3011544.5602033795
2024-08-23,1546.903,3011544.5602033795
2024-09-24,1615.3215,3011544.5602033795
2024-10-29,2177.3058,3436406.4616476595
2024-11-26,2150.0968,3436406.4616476595
2024-12-24,2213.548,3436406.4616476595
2025-01-22,2101.0346,3486121.377979804
2025-02-27,2256.5084,3734879.4579798044
2025-03-27,2145.0951,3556618.177979804
2025-04-25,1947.1863,3010793.337635612
2025-05-28,1985.383,2956550.8202439905
2025-06-26,2114.4254,3137210.1802439904
2025-07-24,2345.3673,3460528.84024399
2025-08-21,2595.4654,3812901.4815842626
2025-09-18,3095.8512,3812901.4815842626
2025-10-24,3171.5687,3812901.4815842626
2025-11-21,2920.0778,3812901.4815842626
2025-12-19,3122.238,3873819.6619379506
2026-01-20,3277.979,4060708.861937951
2026-02-25,3354.819,4152916.861937951
2026-03-25,3316.9714,4107499.7419379507
2026-04-23,3720.2474,4591430.941937951
2026-05-26,4043.0658,4859971.871768735
2026-06-24,4251.4244,4859971.871768735
2026-07-22,3566.7323,4859971.871768735
