time,sig_date,action,price,reason,shares,amount,ret
2026-07-31 10:54:02,2026-07-30,卖出,3.312,清仓,30800,102010,
2026-08-18 10:00:00,2026-08-18,买入,3.34,"水上金叉追入:水上金叉(DIF0.0383,DEA0.0380)",299300,999662.0,
